Mesa_Num,Mesa_ID,Ruta,Estado
6,100404,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_6_100404.jpg,OK
8,100424,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_8_100424.jpg,OK
7,100414,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_7_100414.jpg,OK
9,100434,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_9_100434.jpg,OK
1,100024,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_1_100024.jpg,OK
2,100034,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_2_100034.jpg,OK
3,100044,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_3_100044.jpg,OK
4,100054,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_4_100054.jpg,OK
5,100064,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_5_100064.jpg,OK
6,100074,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_6_100074.jpg,OK
7,100084,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_7_100084.jpg,OK
8,100094,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_8_100094.jpg,OK
9,100104,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_9_100104.jpg,OK
10,100114,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 16 Presidente Bartolome Mitre/mesa_10_100114.jpg,OK
1,101234,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_1_101234.jpg,OK
2,101244,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_2_101244.jpg,OK
3,101254,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_3_101254.jpg,OK
4,101264,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_4_101264.jpg,OK
5,101274,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_5_101274.jpg,OK
6,101284,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_6_101284.jpg,OK
7,101294,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_7_101294.jpg,OK
8,101304,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_8_101304.jpg,OK
9,101314,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_9_101314.jpg,OK
1,102874,ACTAS/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_1_102874.jpg,OK
2,102884,ACTAS/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_2_102884.jpg,OK
3,102894,ACTAS/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_3_102894.jpg,OK
4,102904,ACTAS/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_4_102904.jpg,OK
5,102914,ACTAS/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_5_102914.jpg,OK
7,102934,ACTAS/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_7_102934.jpg,OK
6,102924,ACTAS/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_6_102924.jpg,OK
8,102944,ACTAS/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_8_102944.jpg,OK
9,102954,ACTAS/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_9_102954.jpg,OK
2,103774,ACTAS/Argentina/Buenos Aires/Escobar-Esc. Secundaria Basica Nº23/mesa_2_103774.jpg,OK
10,102964,ACTAS/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_10_102964.jpg,OK
