Mesa_Num,Mesa_ID,Ruta,Estado
9,1003731,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_9_1003731.jpg,Ya descargado
2,8007181,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Santa María  de Vaca Diez/U.E. Santa Maria/mesa_2_8007181.jpg,Ya descargado
5,8006281,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_5_8006281.jpg,Ya descargado
3,1006571,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Gastón Vilar Casso/mesa_3_1006571.jpg,Ya descargado
8,1003721,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_8_1003721.jpg,Ya descargado
1,8007171,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Santa María  de Vaca Diez/U.E. Santa Maria/mesa_1_8007171.jpg,Ya descargado
4,8006271,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_4_8006271.jpg,Ya descargado
5,1001231,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Eduardo Abaroa/mesa_5_1001231.jpg,Ya descargado
7,1003711,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_7_1003711.jpg,Ya descargado
12,8004971,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/Unidad Educativa Nataniel García Chavez/mesa_12_8004971.jpg,Ya descargado
3,8006261,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_3_8006261.jpg,Ya descargado
4,1006581,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Gastón Vilar Casso/mesa_4_1006581.jpg,Ya descargado
6,1003701,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_6_1003701.jpg,Ya descargado
11,8004961,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/Unidad Educativa Nataniel García Chavez/mesa_11_8004961.jpg,Ya descargado
2,8006251,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_2_8006251.jpg,Ya descargado
6,1001241,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Eduardo Abaroa/mesa_6_1001241.jpg,Ya descargado
5,1003691,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_5_1003691.jpg,Ya descargado
10,8004951,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/Unidad Educativa Nataniel García Chavez/mesa_10_8004951.jpg,Ya descargado
1,8006241,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_1_8006241.jpg,Ya descargado
5,1006591,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Gastón Vilar Casso/mesa_5_1006591.jpg,Ya descargado
4,1003681,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_4_1003681.jpg,Ya descargado
9,8004941,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/Unidad Educativa Nataniel García Chavez/mesa_9_8004941.jpg,Ya descargado
20,8005971,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_20_8005971.jpg,Ya descargado
7,1001251,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Eduardo Abaroa/mesa_7_1001251.jpg,Ya descargado
