id_imagen,timestamp,departamento,provincia,municipio,localidad,recinto,numero_mesa,AP,LYP_ADN,APB_SUMATE,LIBRE,FP,MAS_IPSP,MORENA,UNIDAD,PDC,VOTOS_VALIDOS,VOTOS_BLANCOS,VOTOS_NULOS,suma_partidos,diferencia_votos_validos,status_validacion
mesa_11_3042821,2025-08-28T22:06:27.655798,Cochabamba,Quillacollo,Colcapirhua,Santa Rosa (Colcapirhua),Unidad Educativa La Sagrada Familia,3042821,111,171,11,111,711,100,111,17,1,111,101,111,1344,1233,ERROR
mesa_13_3042841,2025-08-28T22:06:28.084980,Cochabamba,Quillacollo,Colcapirhua,Santa Rosa (Colcapirhua),Unidad Educativa La Sagrada Familia,3042841,110,100,761,111,111,1,110,0,11,11,11,11,1315,1304,ERROR
mesa_1_3042211,2025-08-28T22:06:28.482826,Cochabamba,Quillacollo,Colcapirhua,Sumunpaya,Colegio Max Fernandez,3042211,111,11,11,111,11,1,111,110,11,111,111,116,488,377,ERROR
mesa_2_3042221,2025-08-28T22:06:28.902633,Cochabamba,Quillacollo,Colcapirhua,Sumunpaya,Colegio Max Fernandez,3042221,111,107,111,111,177,110,168,111,109,177,116,111,1115,938,ERROR
mesa_3_3042231,2025-08-28T22:06:29.352369,Cochabamba,Quillacollo,Colcapirhua,Sumunpaya,Colegio Max Fernandez,3042231,111,181,111,111,110,111,101,11,111,111,110,111,958,847,ERROR
mesa_4_3042241,2025-08-28T22:06:29.766297,Cochabamba,Quillacollo,Colcapirhua,Sumunpaya,Colegio Max Fernandez,3042241,111,111,711,71,111,111,1,111,10,111,111,160,1348,1237,ERROR
mesa_5_3042251,2025-08-28T22:06:30.152226,Cochabamba,Quillacollo,Colcapirhua,Sumunpaya,Colegio Max Fernandez,3042251,177,107,111,108,681,111,116,91,61,181,107,60,1563,1382,ERROR
mesa_6_3042261,2025-08-28T22:06:30.568109,Cochabamba,Quillacollo,Colcapirhua,Sumunpaya,Colegio Max Fernandez,3042261,111,111,118,161,111,181,111,111,111,118,101,108,1126,1008,ERROR
mesa_7_3042271,2025-08-28T22:06:30.969581,Cochabamba,Quillacollo,Colcapirhua,Sumunpaya,Colegio Max Fernandez,3042271,111,711,110,18,701,111,61,18,11,111,101,111,1852,1741,ERROR
mesa_8_3042281,2025-08-28T22:06:31.369207,Cochabamba,Quillacollo,Colcapirhua,Sumunpaya,Colegio Max Fernandez,3042281,0,1,1,11,0,100,111,101,110,111,1,101,435,324,ERROR
mesa_9_3042291,2025-08-28T22:06:31.765242,Cochabamba,Quillacollo,Colcapirhua,Sumunpaya,Colegio Max Fernandez,3042291,1,101,111,101,107,0,710,101,101,111,1,101,1333,1222,ERROR
mesa_10_3042301,2025-08-28T22:06:32.166374,Cochabamba,Quillacollo,Colcapirhua,Sumunpaya,Colegio Max Fernandez,3042301,101,111,187,111,161,168,110,111,917,111,101,168,1977,1866,ERROR
mesa_11_3042311,2025-08-28T22:06:32.510809,Cochabamba,Quillacollo,Colcapirhua,Sumunpaya,Colegio Max Fernandez,3042311,181,181,81,181,111,111,118,110,181,111,101,111,1255,1144,ERROR
